"","country","year","sales"
"1","Argentina","2019",333226
"2","Australia","2019",799263
"3","Austria","2019",320381
"4","Belgium","2019",550008
"5","Brazil","2019",2262073
"6","Bulgaria","2019",35371
"7","Canada","2019",496846
"8","Chile","2019",260683
"9","China","2019",21472091
"10","Colombia","2019",220564
"11","Croatia","2019",62977
"12","Czech Republic","2019",249915
"13","Denmark","2019",225410
"14","Ecuador","2019",97572
"15","Egypt","2019",127443
"16","Finland","2019",114188
"17","France","2019",2214280
"18","Germany","2019",3607258
"19","Greece","2019",114226
"20","Hungary","2019",157906
"21","India","2019",2962115
"22","Indonesia","2019",785539
"23","Ireland","2019",117109
"24","Israel","2019",239671
"25","Italy","2019",1916949
"26","Japan","2019",4301091
"27","Kazakhstan*","2019",65882
"28","Kuwait","2019",98454
"29","Malaysia","2019",550182
"30","Mexico","2019",763793
"31","Morocco","2019",148354
"32","Netherlands","2019",446056
"33","New Zealand","2019",103610
"34","Norway","2019",142381
"35","Pakistan","2019",162689
"36","Peru","2019",115241
"37","Philippines","2019",258555
"38","Poland","2019",555598
"39","Portugal","2019",221799
"40","Puerto Rico","2019",82605
"41","Romania","2019",161802
"42","Russia","2019",1567743
"43","Saudi Arabia","2019",460373
"44","Slovakia","2019",101568
"45","South Africa","2019",355378
"46","South Korea","2019",1497035
"47","Spain","2019",1258251
"48","Sweden","2019",356036
"49","Switzerland","2019",310050
"50","Taiwan","2019",379999
"51","Thailand","2019",468638
"52","Turkey","2019",387256
"53","Ukraine","2019",88437
"54","United Arab Emirates","2019",198520
"55","United Kingdom","2019",2311140
"56","United States Of America","2019",4719710
"57","Uzbekistan","2019",147827
"58","Vietnam","2019",233782
"59","Argentina","2020",232133
"60","Australia","2020",676804
"61","Austria","2020",257721
"62","Belgium","2020",431491
"63","Brazil","2020",1615942
"64","Bulgaria","2020",22368
"65","Canada","2020",318750
"66","Chile","2020",194128
"67","China","2020",20177731
"68","Colombia","2020",151730
"69","Croatia","2020",36013
"70","Czech Republic","2020",202971
"71","Denmark","2020",198162
"72","Ecuador","2020",61746
"73","Egypt","2020",167792
"74","Finland","2020",96430
"75","France","2020",1650118
"76","Germany","2020",2917678
"77","Greece","2020",80977
"78","Hungary","2020",128031
"79","India","2020",2433473
"80","Indonesia","2020",388925
"81","Ireland","2020",88324
"82","Israel","2020",202455
"83","Italy","2020",1381753
"84","Japan","2020",3809981
"85","Kazakhstan*","2020",82993
"86","Kuwait","2020",72648
"87","Malaysia","2020",480965
"88","Mexico","2020",532433
"89","Morocco","2020",117046
"90","Netherlands","2020",355598
"91","New Zealand","2020",80433
"92","Norway","2020",141412
"93","Pakistan","2020",104387
"94","Peru","2020",81496
"95","Philippines","2020",153833
"96","Poland","2020",428347
"97","Portugal","2020",142414
"98","Puerto Rico","2020",84033
"99","Romania","2020",126128
"100","Russia","2020",1433956
"101","Saudi Arabia","2020",387709
"102","Slovakia","2020",76305
"103","South Africa","2020",246541
"104","South Korea","2020",1618333
"105","Spain","2020",851210
"106","Sweden","2020",292024
"107","Switzerland","2020",236828
"108","Taiwan","2020",408628
"109","Thailand","2020",343494
"110","Turkey","2020",610109
"111","Ukraine","2020",85450
"112","United Arab Emirates","2020",129901
"113","United Kingdom","2020",1631064
"114","United States Of America","2020",3401838
"115","Uzbekistan","2020",146250
"116","Vietnam","2020",217193
"117","Argentina","2021",241619
"118","Australia","2021",753256
"119","Austria","2021",239803
"120","Belgium","2021",383123
"121","Brazil","2021",1558467
"122","Bulgaria","2021",24537
"123","Canada","2021",320605
"124","Chile","2021",304045
"125","China","2021",21481537
"126","Colombia","2021",200914
"127","Croatia","2021",44929
"128","Czech Republic","2021",206876
"129","Denmark","2021",185324
"130","Ecuador","2021",86740
"131","Egypt","2021",215072
"132","Finland","2021",98481
"133","France","2021",1659005
"134","Germany","2021",2622132
"135","Greece","2021",100916
"136","Hungary","2021",121920
"137","India","2021",3082279
"138","Indonesia","2021",659809
"139","Ireland","2021",104669
"140","Israel","2021",272646
"141","Italy","2021",1456674
"142","Japan","2021",3675698
"143","Kazakhstan*","2021",106304
"144","Kuwait","2021",83460
"145","Malaysia","2021",452663
"146","Mexico","2021",520112
"147","Morocco","2021",154284
"148","Netherlands","2021",324336
"149","New Zealand","2021",111299
"150","Norway","2021",176276
"151","Pakistan","2021",198921
"152","Peru","2021",111436
"153","Philippines","2021",180642
"154","Poland","2021",446647
"155","Portugal","2021",149740
"156","Puerto Rico","2021",85486
"157","Romania","2021",120804
"158","Russia","2021",1483444
"159","Saudi Arabia","2021",475837
"160","Slovakia","2021",75700
"161","South Africa","2021",304340
"162","South Korea","2021",1468873
"163","Spain","2021",859476
"164","Sweden","2021",301006
"165","Switzerland","2021",238481
"166","Taiwan","2021",382000
"167","Thailand","2021",312200
"168","Turkey","2021",561853
"169","Ukraine","2021",103262
"170","United Arab Emirates","2021",156780
"171","United Kingdom","2021",1647181
"172","United States Of America","2021",3350050
"173","Uzbekistan","2021",138377
"174","Vietnam","2021",207693
